District,xMin,yMin,xMax,yMax,
Ahmadabad,71.6202697753906,22.0120811462402,72.8503570556641,23.505931854248,AHMEDABAD
Ajmer,73.9055862426758,25.6523208618164,75.3515625,26.9800796508789,
Bangalore,77.3222198486328,12.6482534408569,77.8255996704102,13.2232809066772,BANGALORE 
Barabanki,80.917121887207,26.5255298614502,81.8532867431641,27.3620910644531,
Bathinda,74.6218566894531,29.7770080566406,75.3671417236328,30.5821495056152,
Bharuch,72.502082824707,21.4192695617676,73.5112228393555,22.2479209899902,
DadraandNagarHaveli,72.9223098754883,20.0516185760498,73.2291564941406,20.360710144043,DADRA & NAGAR HAVELI
EastGodavari,81.4980316162109,16.3101425170898,82.5952606201172,18.005672454834,KAKINADA
Ernakulam,76.1659698486328,9.79256057739258,76.827262878418,10.2943305969238,
Korba,82.1309127807617,22.0358028411865,83.1171417236328,22.9973297119141,
Maharashtra,72.6429290771484,15.6067953109741,80.8995590209961,22.0290298461914,
Nagpur,78.2467422485352,20.5802803039551,79.6547317504883,21.7239284515381,
Prayagraj,81.5116577148438,24.8099517822266,82.3446884155274,25.755090713501,ALLAHABAD
Pune,73.3328475952149,17.8914203643799,75.167106628418,19.3949909210205,
Thane,72.7781982421875,18.9984683990479,73.8060531616211,19.7221717834473,
Vadodara,72.8739166259766,21.8201522827148,73.5715560913086,22.8098583221436,
Surat,72.5787506103516,20.8147411346436,73.7068328857422,21.5647296905518,
Dhenkanal,85.1086959838867,20.4785594940186,86.0282287597656,21.1799087524414,
Shahdol,80.9935989379883,22.6460704803467,81.9750823974609,24.2848930358887,
Hardwar,77.702018737793,29.5458602905273,78.3317413330078,30.2507419586182,
Kangra,75.5787582397461,31.6887130737305,77.0642013549805,32.4723091125488,
Raigad,72.8118057250977,17.8493175506592,73.67626953125,19.1345825195312,
Nashik,73.2594223022461,19.5863609313965,74.9411773681641,20.8662109375,
Kolkata,88.2706527709961,22.4949378967285,88.4073104858399,22.6297416687012,KOLKATA DAKSHIN
UdhamSinghNagar,78.7138595581055,28.7156200408936,80.1599273681641,29.3853416442871,NAINITAL-UDHAMSINGH NAGAR
Barnala,75.2462921142578,30.1398391723633,75.7148818969727,30.6373996734619,SANGRUR
Kachchh,68.1862487792969,22.7279186248779,71.7273101806641,24.6806526184082,
Faridabad,77.0655670166016,27.8752098083496,77.542366027832,28.5110912322998,
Solan,76.5893173217773,30.7515926361084,77.2380981445312,31.3704128265381,SHIMLA
Chennai,80.1696472167969,12.9517574310303,80.3059692382812,13.1338005065918,CHENNAI CENTRAL
Gandhinagar,72.3446578979492,22.9928112030029,73.0371704101563,23.4297313690186,
GautamBuddhaNagar,77.2936477661133,28.0814075469971,77.7531127929688,28.6870613098145,GAUTAM BUDHHA NAGAR
Kancheepuram,79.5466232299805,12.2143430709839,80.2623596191406,13.1289129257202,
Thiruvallur,79.2734909057617,12.9329538345337,80.3468017578125,13.5624542236328,TIRUVALLUR
Valsad,72.7376403808594,20.1207981109619,73.5007400512695,20.7448616027832,
Alwar,76.1179122924805,27.060848236084,77.2015762329102,28.2266674041748,
Coimbatore,76.6473922729492,10.2086524963379,77.1689910888672,11.3968114852905,
Daman,72.8212509155273,20.3667621612549,72.9033050537109,20.4709606170654,DAMAN & DIU
Dehradun,77.5622406005859,29.9479103088379,78.2990264892578,30.979907989502,TEHRI GARHWAL
Ghaziabad,77.1944427490234,28.6263675689697,77.7074966430664,28.9317302703857,
Gurgaon,76.6364822387695,28.2049827575684,77.2322158813477,28.542781829834,
Hyderabad,78.3841018676758,17.2970714569092,78.5345306396484,17.4717884063721,
Delhi,76.8329162597656,28.4084606170654,77.3377380371094,28.8845138549805,DELHI
Haora,87.8417510986328,22.2197227478027,88.3655166625977,22.7763118743896,HOWRAH
Jaipur,74.9122772216797,26.443531036377,76.2865676879883,27.8684501647949,
KamrupMetropolitan,91.6302032470703,25.9995288848877,92.1783065795898,26.2550392150879,GAUHATI
Medak,77.4399261474609,17.4150505065918,79.129150390625,18.2838478088379,
Mumbai,72.7759704589844,18.8906955718994,72.9846801757813,19.2692165374756,
